token_id,enterer,utterance_id,irrel,embed,compar,neg_pres,neg_even,sent_neg,position,focus,likely,comment,embed_assoc,part_of_speech.u,stem.u,speaker_id,utterance_order,transcript_id,gloss,num_tokens,stem.t,part_of_speech.t,speaker_code,speaker_name,speaker_role,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,num_morphemes,corpus_name
3223667,Yadav,792909,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,association with wear/want,0,v,even,2456,742,2766,she doesn't even want to wear it anymore it has her name on it,14,she do even want to wear it anymore it have her name on it,pro:sub mod v v inf v pro:per adv pro:per aux det:poss n prep pro:per,MOT,NA,Mother,814.375,Shem,male,declarative,NA,NA,NA,17,Clark
3241814,Yadav,796441,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Object,Most-likely,,0,v,even,2457,949,2767,you don't even know what's in there how do you know you want it,14,you do even know what in there how do you know you want it,pro:per mod v v pro:int adv adv adv:int mod pro:per v pro:per v pro:per,FAT,NA,Father,823.8125,Shem,male,question,NA,NA,NA,16,Clark
3267655,Yadav,801424,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,had,1,v,even,2456,80,2786,that we didn't even know we had,7,that we do even know we have,pro:rel pro:sub mod v v pro:sub v,MOT,NA,Mother,989,Shem,male,declarative,NA,NA,NA,10,Clark
3276405,Yadav,803203,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,,0,adv,even,2457,60,2790,even us,2,even us,adv pro:obj,FAT,NA,Father,1005.4375,Shem,male,declarative,NA,NA,NA,2,Clark
3310590,Yadav,810647,0,0,0,No,N/A,No,Post-Subject,Object,Least-likely,focus on vp,0,adv,even,2462,883,2780,Cricter even inspired a local sculptor to make a statue what does this look like,15,Cricter even inspire a local sculptor to make a statue what do this look like,n:prop adv part det:art n n inf v det:art n det:int mod pro:dem v prep,MRX,NA,Adult,940.125,Shem,male,question,NA,NA,NA,17,Clark
3318262,Yadav,812307,0,0,0,No,N/A,No,Post-Subject,Adjunct,Least-likely,almost like an 'even if'? likelihood inference weak,0,adv,even,2457,12,2802,even with that light,4,even with that light,adv prep pro:dem n,FAT,NA,Father,1075.3125,Shem,male,declarative,NA,NA,NA,4,Clark
3378048,Yadav,828642,1,0,0,No,N/A,No,Pre-Subject,Subject,Most-likely,,0,,,2457,428,2808,somehow it even it makes it even more obvious,9,somehow it it make it even more obvious,adv pro:per pro:per v pro:per v adv adj,FAT,NA,Father,1131.1875,Shem,male,declarative,NA,NA,NA,9,Clark
3378100,Yadav,828642,0,0,1,No,N/A,No,Post-Subject,Verb,Unclear,,0,v,even,2457,428,2808,somehow it even it makes it even more obvious,9,somehow it it make it even more obvious,adv pro:per pro:per v pro:per v adv adj,FAT,NA,Father,1131.1875,Shem,male,declarative,NA,NA,NA,9,Clark
3398975,Yadav,837215,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,adj,even,2529,300,2832,oh this doesn't even bounce,5,oh this do even bounce,co det:dem mod adj n,MOT,NA,Mother,428.125,John,male,imperative_emphatic,NA,NA,NA,7,NewEngland
3403964,Yadav,839280,0,0,0,Yes,Neg-Even,Yes,Post-Subject,Verb,Most-likely,,0,,,2478,824,2823,I don't even know oh there's an,7,oh there a,co pro:exist det:art,MOT,NA,Mother,441.125,Andrew,male,trail off,NA,NA,NA,4,NewEngland
