timeReceived,md5Hash,WorkerId,age,sex,english,comments,trialN,label,item,controller,question,answer,correct,responseTime,controller.1,request,justification
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,11,practice,1,VBox,Who is Donny?,2,1,6950,,,
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,17,fill,7,VBox,Who is Millie?,NULL,NULL,10002,VBox,FSN_justification,because he is upset
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,15,neg,5,VBox,Who is Henrietta?,3,1,6243,VBox,TWN_justification,it implies he is the biggest and strongest 
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,20,pos,10,VBox,Who is Benny?,NULL,NULL,10000,VBox,TRP_justification,it implies he is the smallest 
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,18,fill,8,VBox,Who is Marcus?,2,1,1528,VBox,FMP_justification,because he is wearing a yellow hat. 
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,16,neg,6,VBox,Who is Frida?,NULL,NULL,10001,VBox,TCN_justification,because the cup is the smallest
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,23,pos,13,VBox,Who is Sammy?,3,1,5964,VBox,TCP_justification,he has the biggest basket
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,21,fill,11,VBox,Who is Joey?,2,1,7618,VBox,FSP_justification,he is the medium
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,12,neg,2,VBox,Who is Mary?,1,1,6716,VBox,TFN_justification,it implies he is the smallest
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,22,pos,12,VBox,Who is Rufus?,1,1,2514,VBox,TWP_justification,it implies the smallest could lift the pumpkin
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,14,fill,4,VBox,Who is Carl?,2,1,1136,VBox,FMN_justification,because thats the only one that didnt match
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,13,neg,3,VBox,Who is Jessiepillar?,3,1,1097,VBox,TRN_justification,because the largest couldnt reach the book
1525249242,5.55556E+31,A320BT7PLIQVZT,26,female,yes,,19,pos,9,VBox,Who is Franky?,3,1,2931,VBox,TFP_justification,it implies the largest could fit the socks 
1525227631,cfeef0683ca62f92f79ce771fcae87a8,A3LT7W355XOAKF,61,male,yes,,11,practice,1,VBox,Who is Donny?,NULL,NULL,10000,,,
