WorkerId,condition,realopp
A11SWJL3M0TTLA,FMN,
A11SWJL3M0TTLA,FMP,
A11SWJL3M0TTLA,FSN,
A11SWJL3M0TTLA,FSP,
A11SWJL3M0TTLA,TCN,
A11SWJL3M0TTLA,TCP,
A11SWJL3M0TTLA,TFN,
A11SWJL3M0TTLA,TFP,
A11SWJL3M0TTLA,TRN,1
A11SWJL3M0TTLA,TRP,
A11SWJL3M0TTLA,TWN,1
A11SWJL3M0TTLA,TWP,
A12FTSX85NQ8N9,FMN,
A12FTSX85NQ8N9,FMP,
A12FTSX85NQ8N9,FSN,
A12FTSX85NQ8N9,FSP,
A12FTSX85NQ8N9,TCN,1
A12FTSX85NQ8N9,TCP,
A12FTSX85NQ8N9,TFN,
A12FTSX85NQ8N9,TFP,
A12FTSX85NQ8N9,TRN,
A12FTSX85NQ8N9,TRP,
A12FTSX85NQ8N9,TWN,
A12FTSX85NQ8N9,TWP,
A18VIO909RWY6D,FMN,
A18VIO909RWY6D,FMP,
A18VIO909RWY6D,FSN,
A18VIO909RWY6D,FSP,
A18VIO909RWY6D,TCN,
A18VIO909RWY6D,TCP,
A18VIO909RWY6D,TFN,
A18VIO909RWY6D,TFP,
A18VIO909RWY6D,TRN,
A18VIO909RWY6D,TRP,
A18VIO909RWY6D,TWN,
A18VIO909RWY6D,TWP,
A1B1DPJRVIAV3L,FMN,
A1B1DPJRVIAV3L,FMP,
A1B1DPJRVIAV3L,FSN,
A1B1DPJRVIAV3L,FSP,
A1B1DPJRVIAV3L,TCN,
A1B1DPJRVIAV3L,TCP,
A1B1DPJRVIAV3L,TFN,
A1B1DPJRVIAV3L,TFP,
A1B1DPJRVIAV3L,TRN,
A1B1DPJRVIAV3L,TRP,
A1B1DPJRVIAV3L,TWN,
A1B1DPJRVIAV3L,TWP,
A1BVG13MHBM1YD,FMN,
A1BVG13MHBM1YD,FMP,
A1BVG13MHBM1YD,FSN,
A1BVG13MHBM1YD,FSP,
A1BVG13MHBM1YD,TCN,
A1BVG13MHBM1YD,TCP,
A1BVG13MHBM1YD,TFN,
A1BVG13MHBM1YD,TFP,
A1BVG13MHBM1YD,TRN,
A1BVG13MHBM1YD,TRP,
A1BVG13MHBM1YD,TWN,
A1BVG13MHBM1YD,TWP,
A1E49NR66XOPQS,FMN,
A1E49NR66XOPQS,FMP,
A1E49NR66XOPQS,FSN,
A1E49NR66XOPQS,FSP,
A1E49NR66XOPQS,TCN,
A1E49NR66XOPQS,TCP,
A1E49NR66XOPQS,TFN,
A1E49NR66XOPQS,TFP,
A1E49NR66XOPQS,TRN,
A1E49NR66XOPQS,TRP,
A1E49NR66XOPQS,TWN,
A1E49NR66XOPQS,TWP,
A1K6P03MQNFN0K,FMN,
A1K6P03MQNFN0K,FMP,
A1K6P03MQNFN0K,FSN,
A1K6P03MQNFN0K,FSP,
A1K6P03MQNFN0K,TCN,
A1K6P03MQNFN0K,TCP,
A1K6P03MQNFN0K,TFN,
A1K6P03MQNFN0K,TFP,
A1K6P03MQNFN0K,TRN,
A1K6P03MQNFN0K,TRP,
A1K6P03MQNFN0K,TWN,
A1K6P03MQNFN0K,TWP,
A1KHRQ121JTDF6,FMN,
A1KHRQ121JTDF6,FMP,
A1KHRQ121JTDF6,FSN,
A1KHRQ121JTDF6,FSP,
A1KHRQ121JTDF6,TCN,
A1KHRQ121JTDF6,TCP,
A1KHRQ121JTDF6,TFN,
A1KHRQ121JTDF6,TFP,
A1KHRQ121JTDF6,TRN,
A1KHRQ121JTDF6,TRP,
A1KHRQ121JTDF6,TWN,
A1KHRQ121JTDF6,TWP,
A1OQIXAU1SEJ4P,FMN,
A1OQIXAU1SEJ4P,FMP,
A1OQIXAU1SEJ4P,FSN,
A1OQIXAU1SEJ4P,FSP,
A1OQIXAU1SEJ4P,TCN,
A1OQIXAU1SEJ4P,TCP,
A1OQIXAU1SEJ4P,TFN,
A1OQIXAU1SEJ4P,TFP,
A1OQIXAU1SEJ4P,TRN,
A1OQIXAU1SEJ4P,TRP,
A1OQIXAU1SEJ4P,TWN,
A1OQIXAU1SEJ4P,TWP,
A1PFGHVYL2HD26,FMN,
A1PFGHVYL2HD26,FMP,
A1PFGHVYL2HD26,FSN,
A1PFGHVYL2HD26,FSP,
A1PFGHVYL2HD26,TCN,
A1PFGHVYL2HD26,TCP,
A1PFGHVYL2HD26,TFN,
A1PFGHVYL2HD26,TFP,
A1PFGHVYL2HD26,TRN,
A1PFGHVYL2HD26,TRP,
A1PFGHVYL2HD26,TWN,
A1PFGHVYL2HD26,TWP,
A1QC1K71RGKZBI,FMN,
A1QC1K71RGKZBI,FMP,
A1QC1K71RGKZBI,FSN,
A1QC1K71RGKZBI,FSP,
A1QC1K71RGKZBI,TCN,
A1QC1K71RGKZBI,TCP,
A1QC1K71RGKZBI,TFN,
A1QC1K71RGKZBI,TFP,
A1QC1K71RGKZBI,TRN,
A1QC1K71RGKZBI,TRP,
A1QC1K71RGKZBI,TWN,
A1QC1K71RGKZBI,TWP,
A1TTDSLROQ5EPJ,FMN,
A1TTDSLROQ5EPJ,FMP,
A1TTDSLROQ5EPJ,FSN,
A1TTDSLROQ5EPJ,FSP,
A1TTDSLROQ5EPJ,TCN,
A1TTDSLROQ5EPJ,TCP,
A1TTDSLROQ5EPJ,TFN,
A1TTDSLROQ5EPJ,TFP,
A1TTDSLROQ5EPJ,TRN,
A1TTDSLROQ5EPJ,TRP,
A1TTDSLROQ5EPJ,TWN,
A1TTDSLROQ5EPJ,TWP,
A1WH32GYQOHIRQ,FMN,
A1WH32GYQOHIRQ,FMP,
A1WH32GYQOHIRQ,FSN,
A1WH32GYQOHIRQ,FSP,
A1WH32GYQOHIRQ,TCN,
A1WH32GYQOHIRQ,TCP,
A1WH32GYQOHIRQ,TFN,
A1WH32GYQOHIRQ,TFP,
A1WH32GYQOHIRQ,TRN,
A1WH32GYQOHIRQ,TRP,
A1WH32GYQOHIRQ,TWN,
A1WH32GYQOHIRQ,TWP,
A1XVEKS9O73ERE,FMN,
A1XVEKS9O73ERE,FMP,
A1XVEKS9O73ERE,FSN,
A1XVEKS9O73ERE,FSP,
A1XVEKS9O73ERE,TCN,
