subject,condition,just.type
LP1,TFP1,scalar
LP1,TRP1,scalar
LP1,FMN,
LP1,TWP1,scalar
LP1,TSP1,scalar
LP1,FSN,
LP1,FMP,
LP1,TFP2,scalar
LP1,TRP2,scalar
LP1,FSP,
LP1,TWP2,scalar
LP1,TSP2,scalar
LP2,TFN1,scalar
LP2,TRN1,scalar
LP2,FMN,
LP2,TWN1,scalar
LP2,TSN1,scalar
LP2,FSN,
LP2,FMP,
LP2,TFN2,scalar
LP2,TRN2,scalar
LP2,FSP,
LP2,TWN2,scalar
LP2,TSN2,scalar
LP3,TFP1,scalar
LP3,TRP1,scalar
LP3,FMN,
LP3,TWP1,scalar
LP3,TSP1,scalar
LP3,FSN,
LP3,FMP,
LP3,TFP2,scalar
LP3,TRP2,scalar
LP3,FSP,
LP3,TWP2,scalar
LP3,TSP2,scalar
LP5,TFP1,scalar
LP5,TRP1,random
LP5,FMN,
LP5,TWP1,scalar
LP5,TSP1,scalar
LP5,FSN,
LP5,FMP,
LP5,TFP2,scalar
LP5,TRP2,scalar
LP5,FSP,
LP5,TWP2,scalar
LP5,TSP2,scalar
LP6,TFN1,scalar
LP6,TRN1,scalar
LP6,FMN,
LP6,TWN1,scalar
LP6,TSN1,scalar
LP6,FSN,
LP6,FMP,
LP6,TFN2,scalar
LP6,TRN2,scalar
LP6,FSP,
LP6,TWN2,scalar
LP6,TSN2,scalar
LP7,TFN1,
LP7,TRN1,
LP7,FMN,
LP7,TWN1,
LP7,TSN1,
LP7,FSN,
LP7,FMP,
LP7,TFN2,
LP7,TRN2,
LP7,FSP,
LP7,TWN2,
LP7,TSN2,
LP8,TFP1,random
LP8,TRP1,random
LP8,FMN,
LP8,TWP1,
LP8,TSP1,random
LP8,FSN,
LP8,FMP,
LP8,TFP2,scalar
LP8,TRP2,scalar
LP8,FSP,
LP8,TWP2,random
LP8,TSP2,random
LP9,TFN1,
LP9,TRN1,
LP9,FMN,
LP9,TWN1,random
LP9,TSN1,random
LP9,FSN,
LP9,FMP,
LP9,TFN2,random
LP9,TRN2,random
LP9,FSP,
LP9,TWN2,random
LP9,TSN2,random
CP2,TFN1,random
CP2,TRN1,scalar
CP2,FMN,scalar
CP2,TWN1,scalar
CP2,TSN1,scalar
CP2,FSN,
CP2,FMP,
CP2,TFN2,scalar
CP2,TRN2,scalar
CP2,FSP,
CP2,TWN2,scalar
CP2,TSN2,scalar
CP4,TFP1,random
CP4,TRP1,random
CP4,FMN,
CP4,TWP1,scalar
CP4,TSP1,scalar
CP4,FSN,
CP4,FMP,
CP4,TFP2,scalar
CP4,TRP2,scalar
CP4,FSP,scalar
CP4,TWP2,scalar
CP4,TSP2,scalar
CP5,TFN1,scalar
CP5,TRN1,scalar
CP5,FMN,
